海口,427.5,495
文昌,447.5,510
琼海,440,503.5
万宁,447.5,516.5
陵水,437.5,520
三亚,425,522.5
广州,470,457.5
东莞,470,467.5
深圳,485,470
广州,470,457.5
佛山,458,467.5
江门,457,470
广州,470,457.5
佛山,458,467.5
中山,462.5,470
珠海,465,485
南宁,410,465
钦州,407.5,475
北海,418.5,480
防城港,405,480
南宁,410,465
贵港,421.5,462.5
梧州,449,457.5
云浮,452.5,460
肇庆,457,465
广州,470,457.5
衡阳,455,417.5
永州,450,422.5
桂林,435,432.5
柳州,421,445
来宾,418.5,457.5
南宁,410,465
贵阳,404,415
桂林,435,432.5
贺州,451,447.5
肇庆,457,465
广州,470,457.5
龙岩,507.5,430
漳州,510,440
厦门,525,440
南昌,498.5,397.5
抚州,504,404.5
三明,522.5,407.5
福州,545,415
杭州,542.5,370
绍兴,552.5,370
宁波,560,375
台州,557.5,386
温州,550,395
宁德,547.5,405
福州,545,415
莆田,540,422.5
泉州,535,430
厦门,525,440
漳州,510,440
汕尾,498.5,463.5
惠州,490,457
深圳,485,470
杭州,542.5,370
金华,535,380
衢州,525,382.5
上饶,520,395
鹰潭,510,397.5
抚州,504,404.5
南昌,498.5,397.5
新余,491,410
宜春,486,409.5
萍乡,480,407.5
长沙,457.5,395
湘潭,462,405.5
娄底,446.5,405
邵阳,444,406.5
怀化,440,405
九江,497,385
南昌,498.5,397.5
武汉,470,366
鄂州,479,374
南京,525,350
湖州,545,365
杭州,542.5,370
上海,570,355
嘉兴,553.5,365
杭州,542.5,370
武汉,470,366
黄冈,479,372.5
武汉,470,366
鄂州,479,374
黄石,480,375
武汉,470,366
咸宁,470,381
武汉,470,366
随州,456,350
襄阳,448,348
十堰,440,342.5
绵阳,367,352
德阳,361,358.5
成都,355,366
眉山,353.5,373
乐山,352,380
峨眉山,353.5,386
达州,400,361
南充,377.5,366
遂宁,383,367.5
成都,355,366
南京,525,350
合肥,507.5,352.5
六安,500,352.5
武汉,470,366
天门,460,365
仙桃,462.5,373.5
潜江,458.5,368.5
荆州,455,366.5
宜昌,441.5,365
恩施,421.5,370
重庆,394,380
遂宁,383,367.5
成都,355,366
蚌埠,510,337.5
淮南,508,338.5
合肥,507.5,352.5
南京,525,350
镇江,535,347
常州,540,355
无锡,542.5,357.5
苏州,550,360
上海,570,355
郑州,470,323
开封,480,321.5
商丘,491.5,321.5
蚌埠,510,337.5
徐州,515,320
郑州,470,323
洛阳,452.5,321.5
三门峡,444,316.5
渭南,431.5,326.5
西安,415,330
咸阳,402.5,330
宝鸡,392.5,330
兰州,360,300
海东,335,288.5
西宁,325,285
张掖,335,257
酒泉,310,242
嘉峪关,300,243
哈密,235,210
吐鲁番,195,210
乌鲁木齐,180,195
太原,452.5,275
晋中,459,282.5
临汾,445,290
运城,442.5,310
西安,415,330
太原,452.5,275
阳泉,467.5,275
石家庄,478,275
广州,470,457.5
深圳,485,470
北京,501,249.5
保定,484.5,256
石家庄,478,275
邢台,475.5,285.5
邯郸,475.5,294
安阳,473.5,305
鹤壁,475,307
新乡,472,315
郑州,470,323
许昌,471,330
漯河,467.5,334
驻马店,471,345
信阳,474.5,350
孝感,462.5,357.5
武汉,470,366
咸阳,402.5,330
岳阳,460,380
长沙,457.5,395
株洲,462.5,405
衡阳,455,417.5
郴州,467.5,425
韶关,475,437.5
清远,467.5,447.5
广州,470,457.5
济南,507,294
淄博,522.5,282.5
潍坊,540,282.5
青岛,550,295
烟台,550,270
威海,570,280
北京,501,249.5
廊坊,497.5,260
天津,512.5,263
沧州,501.5,270.5
德州,501.5,282
济南,507,294
泰安,519,297
枣庄,513,307.5
徐州,515,320
宿州,508,323
蚌埠,510,337.5
滁州,520,345
南京,525,350
镇江,535,347
常州,540,355
无锡,542.5,357.5
苏州,550,360
上海,570,355
北京,501,249.5
天津,512.5,263
呼和浩特,448.5,225
包头,426.5,226
天津,512.5,263
唐山,520,254.5
秦皇岛,533,247
葫芦岛,539,238
锦州,542.5,231
盘锦,556,230
沈阳,580,213
沈阳,580,213
抚顺,590,212.5
长春,600,182.5
吉林,623.5,187
延边,642.5,195
哈尔滨,620,150
长春,600,182.5
四平,591,195
铁岭,586,204
沈阳,580,213
辽阳,577.5,224
鞍山,572.5,226
营口,563.5,237
大连,561,255
大连,561,255
营口,563.5,237
盘锦,556,230
