钦州,815,950
防城港,810,960
崇左,790,940
梧州,898,915
百色,787,906
昆明,710,875
楚雄,685,880
普洱,670,930
西双版纳,662,960
曲靖,738,865
红河,724,910
文山,750,910
大理,650,865
怒江,635,850
临沧,648,905
保山,620,875
德宏,605,895
丽江,639,830
迪庆,627,810
昭通,728,825
贵阳,808,830
黔南,818,850
黔东南,828,830
毕节,780,815
六盘水,758,830
黔西南,755,875
安顺,788,846
遵义,812,800
铜仁,850,800
拉萨,466,755
山南,480,770
阿里,250,745
日喀则,390,765
昌都,555,705
那曲,470,713
林芝,520,752
连云港,1088,628
长治,910,588
晋城,900,608
营口,1127,474
聊城,1057,581
玉溪,700,900
沧州,1003,541
